date,open,high,low,close,volume
2026-05-04,2860,2884,2848,2876,5810000
2026-05-05,2878,2896,2862,2888,6120000
2026-05-06,2886,2912,2874,2904,6400000
2026-05-07,2902,2920,2888,2916,6280000
2026-05-08,2914,2936,2894,2906,7010000
2026-05-11,2908,2928,2898,2922,5660000
2026-05-12,2925,2944,2912,2938,5940000
2026-05-13,2936,2950,2918,2928,6170000
2026-05-14,2926,2942,2910,2936,5480000
2026-05-15,2938,2964,2928,2958,6790000
2026-05-18,2962,2988,2950,2982,7420000
2026-05-19,2984,3002,2968,2976,6880000
2026-05-20,2978,2996,2960,2990,6220000
2026-05-21,2992,3014,2982,3008,6510000
2026-05-22,3010,3036,2998,3028,7190000
2026-05-25,3024,3046,3008,3016,6910000
2026-05-26,3018,3032,2992,3002,7340000
2026-05-27,3004,3024,2988,3018,6080000
2026-05-28,3020,3058,3012,3050,8260000
2026-05-29,3054,3078,3038,3064,7940000
2026-06-01,3066,3092,3052,3086,8320000
2026-06-02,3088,3104,3066,3074,7650000
2026-06-03,3070,3096,3058,3090,7030000
2026-06-04,3092,3128,3082,3120,9140000
2026-06-05,3122,3140,3102,3110,8490000
2026-06-08,3112,3136,3098,3128,8010000
2026-06-09,3130,3168,3124,3158,9580000
2026-06-10,3160,3184,3142,3172,9320000
2026-06-11,3174,3196,3158,3188,8870000
2026-06-12,3190,3228,3184,3220,10340000

