date,open,high,low,close,volume
2026-05-04,3820,3864,3804,3848,2140000
2026-05-05,3852,3872,3826,3836,1980000
2026-05-06,3838,3860,3812,3824,2050000
2026-05-07,3822,3848,3798,3810,2260000
2026-05-08,3812,3834,3788,3794,2510000
2026-05-11,3796,3822,3776,3808,1870000
2026-05-12,3810,3830,3784,3798,1930000
2026-05-13,3800,3818,3768,3776,2320000
2026-05-14,3778,3806,3752,3792,2410000
2026-05-15,3794,3816,3764,3770,2190000
2026-05-18,3768,3792,3748,3758,2280000
2026-05-19,3760,3784,3736,3742,2440000
2026-05-20,3744,3770,3718,3728,2630000
2026-05-21,3730,3754,3706,3712,2810000
2026-05-22,3714,3742,3698,3736,2380000
2026-05-25,3738,3766,3720,3754,2290000
2026-05-26,3756,3782,3734,3772,2170000
2026-05-27,3774,3804,3756,3796,2110000
2026-05-28,3798,3828,3776,3816,2240000
2026-05-29,3818,3840,3790,3804,2020000
2026-06-01,3806,3834,3788,3820,1960000
2026-06-02,3822,3852,3802,3844,2080000
2026-06-03,3846,3878,3828,3868,2350000
2026-06-04,3870,3892,3846,3858,2180000
2026-06-05,3860,3886,3838,3876,2060000
2026-06-08,3878,3910,3860,3902,2430000
2026-06-09,3904,3936,3888,3924,2520000
2026-06-10,3926,3950,3908,3938,2310000
2026-06-11,3940,3976,3922,3964,2680000
2026-06-12,3968,3994,3950,3988,2860000

